entity_id,entity_name,country
E000001,ENTITY_000001,FR
E000002,ENTITY_000002,IL
E000003,ENTITY_000003,BR
E000004,ENTITY_000004,KR
E000005,ENTITY_000005,CA
E000006,ENTITY_000006,IL
E000007,ENTITY_000007,SG
E000008,ENTITY_000008,GB
E000009,ENTITY_000009,FR
E000010,ENTITY_000010,TR
E000011,ENTITY_000011,IN
E000012,ENTITY_000012,AE
E000013,ENTITY_000013,FR
E000014,ENTITY_000014,US
E000015,ENTITY_000015,MX
E000016,ENTITY_000016,MX
E000017,ENTITY_000017,MX
E000018,ENTITY_000018,IN
E000019,ENTITY_000019,SG
E000020,ENTITY_000020,VN
E000021,ENTITY_000021,NL
E000022,ENTITY_000022,BR
E000023,ENTITY_000023,SE
E000024,ENTITY_000024,FR
E000025,ENTITY_000025,MX
E000026,ENTITY_000026,FR
E000027,ENTITY_000027,TR
E000028,ENTITY_000028,DE
E000029,ENTITY_000029,VN
E000030,ENTITY_000030,US
E000031,ENTITY_000031,IT
E000032,ENTITY_000032,DE
E000033,ENTITY_000033,AE
E000034,ENTITY_000034,FR
E000035,ENTITY_000035,SG
E000036,ENTITY_000036,ES
E000037,ENTITY_000037,AE
E000038,ENTITY_000038,CA
E000039,ENTITY_000039,DE
E000040,ENTITY_000040,ES
E000041,ENTITY_000041,CN
E000042,ENTITY_000042,GB
E000043,ENTITY_000043,DE
E000044,ENTITY_000044,KR
E000045,ENTITY_000045,JP
E000046,ENTITY_000046,SG
E000047,ENTITY_000047,BR
E000048,ENTITY_000048,MX
E000049,ENTITY_000049,IT
E000050,ENTITY_000050,ES
E000051,ENTITY_000051,BR
E000052,ENTITY_000052,ES
E000053,ENTITY_000053,BR
E000054,ENTITY_000054,VN
E000055,ENTITY_000055,JP
E000056,ENTITY_000056,AE
E000057,ENTITY_000057,GB
E000058,ENTITY_000058,VN
E000059,ENTITY_000059,JP
E000060,ENTITY_000060,SG
E000061,ENTITY_000061,IN
E000062,ENTITY_000062,KR
E000063,ENTITY_000063,IN
E000064,ENTITY_000064,SG
E000065,ENTITY_000065,US
E000066,ENTITY_000066,VN
E000067,ENTITY_000067,BR
E000068,ENTITY_000068,IN
E000069,ENTITY_000069,VN
E000070,ENTITY_000070,VN
E000071,ENTITY_000071,KR
E000072,ENTITY_000072,NL
E000073,ENTITY_000073,IN
E000074,ENTITY_000074,TR
E000075,ENTITY_000075,TR
E000076,ENTITY_000076,TR
E000077,ENTITY_000077,IN
E000078,ENTITY_000078,SE
E000079,ENTITY_000079,CA
E000080,ENTITY_000080,SE
E000081,ENTITY_000081,IT
E000082,ENTITY_000082,DE
E000083,ENTITY_000083,FR
E000084,ENTITY_000084,CN
E000085,ENTITY_000085,JP
E000086,ENTITY_000086,DE
E000087,ENTITY_000087,US
E000088,ENTITY_000088,ES
E000089,ENTITY_000089,BR
E000090,ENTITY_000090,AE
E000091,ENTITY_000091,US
E000092,ENTITY_000092,DE
E000093,ENTITY_000093,CN
E000094,ENTITY_000094,SG
E000095,ENTITY_000095,JP
E000096,ENTITY_000096,NL
E000097,ENTITY_000097,NL
E000098,ENTITY_000098,NL
E000099,ENTITY_000099,CA
E000100,ENTITY_000100,TR
E000101,ENTITY_000101,AE
E000102,ENTITY_000102,IL
E000103,ENTITY_000103,IN
E000104,ENTITY_000104,TR
E000105,ENTITY_000105,CA
E000106,ENTITY_000106,SG
E000107,ENTITY_000107,TR
E000108,ENTITY_000108,IL
E000109,ENTITY_000109,IL
E000110,ENTITY_000110,CN
E000111,ENTITY_000111,BR
E000112,ENTITY_000112,SE
E000113,ENTITY_000113,CA
E000114,ENTITY_000114,GB
E000115,ENTITY_000115,SG
E000116,ENTITY_000116,NL
E000117,ENTITY_000117,KR
E000118,ENTITY_000118,SE
E000119,ENTITY_000119,BR
E000120,ENTITY_000120,US
E000121,ENTITY_000121,NL
E000122,ENTITY_000122,ES
E000123,ENTITY_000123,ES
E000124,ENTITY_000124,CN
E000125,ENTITY_000125,KR
E000126,ENTITY_000126,DE
E000127,ENTITY_000127,GB
E000128,ENTITY_000128,MX
E000129,ENTITY_000129,BR
E000130,ENTITY_000130,TR
E000131,ENTITY_000131,SG
E000132,ENTITY_000132,MX
E000133,ENTITY_000133,VN
E000134,ENTITY_000134,VN
E000135,ENTITY_000135,VN
E000136,ENTITY_000136,FR
E000137,ENTITY_000137,AE
E000138,ENTITY_000138,US
E000139,ENTITY_000139,SE
E000140,ENTITY_000140,BR
E000141,ENTITY_000141,FR
E000142,ENTITY_000142,GB
E000143,ENTITY_000143,BR
E000144,ENTITY_000144,US
E000145,ENTITY_000145,MX
E000146,ENTITY_000146,SE
E000147,ENTITY_000147,CA
E000148,ENTITY_000148,MX
E000149,ENTITY_000149,GB
