shipment_id,exporter_name,importer_name,exporter_country,importer_country,country,hs_code,value_usd,ship_date
S00000001,EXPORTER_02531,IMPORTER_03791,IT,IN,IT,390402,52820.86,2023-06-19
S00000002,EXPORTER_03176,IMPORTER_03377,BR,VN,BR,440102,71165.15,2023-11-12
S00000003,EXPORTER_01604,IMPORTER_02856,FR,IN,FR,080200,38393.89,2024-10-12
S00000004,EXPORTER_01634,IMPORTER_03687,DE,IL,DE,480301,60230.99,2024-02-18
S00000005,EXPORTER_01653,IMPORTER_03284,MX,US,MX,250001,53601.11,2024-04-16
S00000006,EXPORTER_01010,IMPORTER_03923,NL,BR,NL,470102,62248.72,2024-09-11
S00000007,EXPORTER_01873,IMPORTER_02472,CA,FR,CA,380102,6157.02,2024-06-22
S00000008,EXPORTER_03972,IMPORTER_02535,ES,CN,ES,050401,36772.3,2024-10-30
S00000009,EXPORTER_03695,IMPORTER_02539,CN,US,CN,440102,17813.78,2023-04-18
S00000010,EXPORTER_01168,IMPORTER_00806,AE,ES,AE,220200,1221.89,2024-09-17
S00000011,EXPORTER_01367,IMPORTER_01771,ES,GB,ES,380201,4224.93,2024-07-22
S00000012,EXPORTER_02976,IMPORTER_02646,MX,FR,MX,420302,87801.49,2024-06-25
S00000013,EXPORTER_02158,IMPORTER_02165,NL,CN,NL,340302,63427.54,2024-08-20
S00000014,EXPORTER_01865,IMPORTER_03988,US,IL,US,340101,48909.45,2024-10-31
S00000015,EXPORTER_02986,IMPORTER_03822,IN,IT,IN,390400,58119.88,2023-09-26
S00000016,EXPORTER_00274,IMPORTER_02904,KR,CN,KR,120300,28544.03,2023-03-22
S00000017,EXPORTER_00786,IMPORTER_01801,IT,CA,IT,040300,50008.18,2024-03-13
S00000018,EXPORTER_01431,IMPORTER_02484,CN,SG,CN,200300,66797.38,2023-06-09
S00000019,EXPORTER_00230,IMPORTER_02597,AE,IN,AE,260402,6256.83,2023-12-27
S00000020,EXPORTER_02692,IMPORTER_02773,SE,CA,SE,490402,19337.74,2023-05-20
S00000021,EXPORTER_01983,IMPORTER_01606,SE,SG,SE,380302,22858.22,2023-08-15
S00000022,EXPORTER_02914,IMPORTER_03452,BR,VN,BR,430300,17607.9,2024-10-01
S00000023,EXPORTER_03808,IMPORTER_01711,NL,TR,NL,430200,62888.95,2023-11-26
S00000024,EXPORTER_00162,IMPORTER_00124,IT,SE,IT,140001,57817.55,2023-11-11
S00000025,EXPORTER_03127,IMPORTER_03863,IT,BR,IT,280201,78759.68,2023-08-19
S00000026,EXPORTER_03758,IMPORTER_01251,AE,ES,AE,260401,87011.97,2024-01-25
S00000027,EXPORTER_00591,IMPORTER_02555,CA,GB,CA,270101,73280.07,2023-03-29
S00000028,EXPORTER_01888,IMPORTER_02843,US,BR,US,060400,75813.5,2023-10-09
S00000029,EXPORTER_02015,IMPORTER_02160,SE,VN,SE,100201,3443.16,2024-05-31
S00000030,EXPORTER_02381,IMPORTER_01552,FR,AE,FR,080302,60129.71,2023-11-05
S00000031,EXPORTER_00215,IMPORTER_02014,FR,IN,FR,370201,29655.25,2023-10-11
S00000032,EXPORTER_02376,IMPORTER_03971,JP,KR,JP,350201,69429.43,2024-11-18
S00000033,EXPORTER_02639,IMPORTER_00178,IT,TR,IT,210100,1525.95,2023-06-01
S00000034,EXPORTER_01909,IMPORTER_00330,SE,TR,SE,320100,66267.09,2023-01-22
S00000035,EXPORTER_00718,IMPORTER_03239,FR,NL,FR,170002,67764.0,2024-10-25
S00000036,EXPORTER_00174,IMPORTER_02912,AE,AE,AE,490300,72566.73,2024-11-20
S00000037,EXPORTER_01258,IMPORTER_03082,BR,US,BR,480002,38465.27,2024-10-07
S00000038,EXPORTER_00420,IMPORTER_03216,NL,DE,NL,490402,1480.93,2023-11-03
S00000039,EXPORTER_02582,IMPORTER_02702,FR,NL,FR,470301,17816.21,2023-03-22
S00000040,EXPORTER_00654,IMPORTER_02253,VN,ES,VN,410300,22197.77,2023-03-02
S00000041,EXPORTER_01764,IMPORTER_00932,SG,BR,SG,380300,41650.15,2023-07-18
S00000042,EXPORTER_00303,IMPORTER_00303,DE,KR,DE,250300,24671.99,2024-01-23
S00000043,EXPORTER_00114,IMPORTER_00001,GB,CN,GB,370400,49618.89,2023-04-28
S00000044,EXPORTER_03462,IMPORTER_02671,VN,CA,VN,360300,50694.9,2023-10-21
S00000045,EXPORTER_00639,IMPORTER_02825,US,SG,US,210200,43858.85,2023-02-09
S00000046,EXPORTER_03144,IMPORTER_02721,BR,US,BR,420002,5191.54,2023-02-24
S00000047,EXPORTER_03360,IMPORTER_03121,IN,SG,IN,430202,38054.98,2024-04-29
S00000048,EXPORTER_00712,IMPORTER_00050,TR,NL,TR,130402,6713.16,2023-07-13
S00000049,EXPORTER_00361,IMPORTER_03959,IT,IL,IT,110302,37710.27,2024-09-09
S00000050,EXPORTER_03441,IMPORTER_00330,GB,IL,GB,130301,39414.13,2024-03-11
S00000051,EXPORTER_03932,IMPORTER_03892,IL,IT,IL,210400,9486.53,2024-10-10
S00000052,EXPORTER_01317,IMPORTER_01154,CN,TR,CN,260000,74556.84,2023-11-30
S00000053,EXPORTER_00102,IMPORTER_03184,IN,ES,IN,410102,29851.54,2024-12-16
S00000054,EXPORTER_00886,IMPORTER_00424,IT,US,IT,480202,85584.38,2024-02-16
S00000055,EXPORTER_02824,IMPORTER_02166,VN,CN,VN,280100,110.95,2024-10-21
S00000056,EXPORTER_00168,IMPORTER_02779,SE,SG,SE,320002,7515.46,2023-11-26
S00000057,EXPORTER_02446,IMPORTER_02145,SE,AE,SE,390101,46100.43,2023-08-07
S00000058,EXPORTER_00367,IMPORTER_01882,ES,IN,ES,260102,3007.27,2023-05-30
S00000059,EXPORTER_00442,IMPORTER_00935,SE,SG,SE,120002,12324.79,2024-11-09
S00000060,EXPORTER_03371,IMPORTER_01087,VN,TR,VN,240001,6405.62,2024-09-25
S00000061,EXPORTER_00885,IMPORTER_00670,SE,TR,SE,190102,72491.78,2023-03-29
S00000062,EXPORTER_02762,IMPORTER_03805,CA,TR,CA,180201,13714.38,2023-04-22
S00000063,EXPORTER_03128,IMPORTER_00839,KR,NL,KR,110102,4034.96,2023-01-03
S00000064,EXPORTER_00228,IMPORTER_00972,IN,JP,IN,220002,18031.12,2023-03-06
S00000065,EXPORTER_02994,IMPORTER_02111,SG,SE,SG,360400,51603.42,2024-01-23
S00000066,EXPORTER_02993,IMPORTER_03904,VN,DE,VN,140300,73181.65,2024-01-05
S00000067,EXPORTER_02922,IMPORTER_00888,IL,CN,IL,170202,9138.98,2024-07-23
